City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tasiilaq,78,GL,1563923023,66,65.61,-37.64,50.0,12.75
Ploemeur,0,FR,1563923023,78,47.73,-3.43,71.6,5.82
Ferkessedougou,83,CI,1563922937,89,9.6,-5.2,72.85,7.76
Lompoc,1,US,1563923023,64,34.64,-120.46,93.0,13.87
Mataura,0,NZ,1563923023,99,-46.19,168.86,43.0,3.0
Zhigansk,0,RU,1563923024,36,66.77,123.37,73.75,9.69
Lincoln,1,US,1563923024,44,40.8,-96.67,81.0,6.93
Georgetown,20,GY,1563923024,83,6.8,-58.16,82.4,9.17
Huambo,0,AO,1563923024,34,-12.78,15.73,51.61,1.9
Ribeira Grande,33,PT,1563923025,89,38.52,-28.7,73.21,21.32
Laguna,75,BZ,1563923025,70,16.17,-88.94,87.8,4.7
Kavieng,89,PG,1563923025,76,-2.57,150.8,83.11,25.12
Butaritari,98,KI,1563923026,73,3.07,172.79,85.09,10.58
Poum,0,MK,1563923026,74,41.28,20.71,57.37,3.18
Teresopolis,0,BR,1563922850,73,-22.41,-42.97,73.4,3.36
Anan,75,JP,1563923026,94,33.91,134.64,81.0,4.7
Kaitangata,3,NZ,1563923026,71,-46.28,169.85,48.0,4.0
Geraldton,75,CA,1563923027,50,49.72,-86.95,75.2,5.82
Killybegs,91,IE,1563923027,85,54.63,-8.45,64.0,5.99
Beitbridge,0,ZA,1563923027,39,-22.21,29.99,54.85,7.96
Hofn,100,IS,1563923028,95,64.25,-15.21,39.19,14.32
Seymchan,19,RU,1563923028,41,62.93,152.39,54.31,6.24
Castro,40,CL,1563923028,81,-42.48,-73.76,44.6,5.82
Marica,0,BR,1563923028,88,-22.92,-42.82,73.4,9.17
Carnarvon,80,ZA,1563922768,75,-30.97,22.13,39.73,32.97
Yellowknife,75,CA,1563923029,41,62.45,-114.38,77.0,5.82
Hami,49,CN,1563923029,28,42.84,93.51,77.89,4.21
Pevek,98,RU,1563923029,94,69.7,170.27,31.81,12.66
Hun,0,BE,1563923030,57,50.34,4.87,80.6,3.36
Narsaq,40,GL,1563923030,62,60.91,-46.05,57.2,11.41
Lagoa,0,PT,1563923030,73,37.14,-8.45,77.0,4.7
Nouadhibou,6,MR,1563923030,73,20.93,-17.03,71.6,16.11
Kieta,95,PG,1563923030,76,-6.22,155.63,82.39,13.42
Arraial do Cabo,0,BR,1563923031,78,-22.97,-42.02,71.6,14.99
Coquimbo,20,CL,1563923031,66,-29.95,-71.34,51.8,9.17
Port Blair,100,IN,1563923031,79,11.67,92.75,83.83,20.38
Purkersdorf,0,AT,1563923032,64,48.21,16.18,73.99,4.7
Hobart,40,AU,1563922809,73,-42.88,147.33,48.0,9.17
Muncar,82,ID,1563923032,92,-8.43,114.34,69.97,1.39
Omsukchan,96,RU,1563923032,65,62.53,155.8,40.45,4.88
Bethel,90,US,1563923032,63,60.79,-161.76,64.4,5.82
Avarua,54,CK,1563923033,65,-21.21,-159.78,77.0,10.29
Cape Town,75,ZA,1563923033,76,-33.93,18.42,55.99,10.29
Kaohsiung,75,TW,1563923033,88,22.62,120.31,82.99,3.36
Mayen,46,DE,1563923034,41,50.33,7.22,79.0,4.7
Alta Floresta,0,BR,1563923034,47,-9.87,-56.08,80.6,3.36
Marzuq,100,YE,1563923034,36,14.4,46.47,79.87,6.55
Hilo,40,US,1563923034,65,19.71,-155.08,82.4,12.75
Bonavista,100,CA,1563923034,76,48.65,-53.11,57.0,1.99
Talnakh,0,RU,1563923035,82,69.49,88.39,55.4,15.66
Sao Jose da Coroa Grande,7,BR,1563923035,94,-8.9,-35.15,69.79,4.21
Khatanga,100,RU,1563923035,54,71.98,102.47,51.61,10.02
Sao Joao da Barra,0,BR,1563922873,88,-21.64,-41.05,69.8,3.31
Padang,98,ID,1563923036,74,-0.92,100.36,82.57,8.88
Chake Chake,56,TZ,1563923036,75,-5.25,39.77,76.81,21.36
Bredasdorp,93,ZA,1563923037,81,-34.53,20.04,48.99,16.11
Sozimskiy,0,RU,1563923037,97,59.74,52.25,53.95,4.5
Nyagan,39,RU,1563923038,73,62.14,65.43,53.41,6.89
Vaini,100,IN,1563923038,94,15.34,74.49,76.27,4.52
Saskylakh,60,RU,1563923038,51,71.97,114.09,51.79,7.9
Lavrentiya,100,RU,1563923038,95,65.58,-170.99,45.31,4.83
Alofi,75,NU,1563923039,61,-19.06,-169.92,77.0,5.82
Carutapera,1,BR,1563923039,83,-1.2,-46.02,77.35,7.11
Pangnirtung,40,CA,1563923039,87,66.15,-65.72,46.4,10.29
Plouzane,0,FR,1563923039,82,48.38,-4.62,66.99,3.36
Otradnoye,0,RU,1563923040,67,59.77,30.8,62.6,5.19
Zlynka,90,RU,1563923040,100,52.43,31.74,60.8,6.71
Thompson,40,CA,1563923040,27,55.74,-97.86,89.6,13.87
Gambela,99,ET,1563923041,84,8.25,34.59,66.91,3.58
Port Lincoln,57,AU,1563923041,80,-34.72,135.86,57.73,15.64
Fairbanks,1,US,1563922889,37,64.84,-147.72,84.0,4.7
Oga,0,IT,1563923041,93,46.46,10.35,62.6,2.24
Nabire,100,ID,1563923042,98,-3.36,135.5,69.61,4.05
Flinders,20,AU,1563923042,50,-34.58,150.85,62.01,20.8
Dikson,56,RU,1563923042,86,73.51,80.55,36.49,8.86
Quibdo,75,CO,1563923042,94,5.69,-76.66,69.8,2.24
Peniche,0,PT,1563922867,68,39.36,-9.38,68.0,9.17
Stepnyak,86,KZ,1563923043,98,52.83,70.79,57.91,6.29
Longview,40,US,1563923043,51,32.5,-94.74,88.0,9.17
Tanhacu,88,BR,1563923043,79,-14.02,-41.25,68.17,7.56
Carbonia,0,IT,1563923044,57,39.17,8.53,78.8,4.7
Komsomolskiy,0,RU,1563923044,77,67.55,63.78,46.57,6.89
Richards Bay,0,ZA,1563923044,36,-28.77,32.06,75.19,19.66
Boma,97,GH,1563923044,99,7.08,-2.17,70.15,3.4
Jvari,95,GE,1563923044,97,42.72,42.05,55.03,2.15
Aden,100,YE,1563922822,46,12.79,45.03,93.01,7.96
Bambous Virieux,40,MU,1563923045,88,-20.34,57.76,69.8,14.99
Sioux Lookout,75,CA,1563923045,47,50.1,-91.92,80.6,6.93
Cherskiy,100,RU,1563923046,64,68.75,161.3,46.57,12.19
Belaya Gora,100,RU,1563923046,74,68.54,146.19,57.55,15.99
Wenatchee,1,US,1563922825,24,47.42,-120.31,93.2,6.93
Buta,51,CD,1563923046,95,2.79,24.73,68.17,0.87
Lasa,0,CY,1563922833,73,34.92,32.53,78.8,4.7
Melfi,5,IT,1563923046,57,41.0,15.66,75.2,10.29
Nanortalik,100,GL,1563923047,97,60.14,-45.24,38.65,3.8
San Quintin,100,PH,1563923047,83,17.54,120.52,79.87,1.45
Kalakamati,0,BW,1563923047,37,-20.59,27.31,52.87,3.11
Luganville,75,VU,1563923047,69,-15.51,167.18,77.0,6.93
Sibolga,44,ID,1563923048,78,1.74,98.78,80.95,6.46
Vao,29,EE,1563923048,89,59.1,26.19,60.79,2.75
Baruun-Urt,100,MN,1563923048,89,46.68,113.28,58.63,12.62
Mangrol,99,IN,1563923048,56,25.33,76.51,90.85,7.58
Kpandu,96,GH,1563923049,89,7.0,0.29,73.39,6.55
Myaundzha,63,RU,1563923049,36,63.05,147.18,55.57,4.68
Quatre Cocos,40,MU,1563923049,88,-20.21,57.76,69.8,14.99
Waverley,0,AU,1563923049,45,-33.9,151.26,63.0,13.87
Hobyo,95,SO,1563923050,75,5.35,48.53,75.91,25.26
Ballina,100,IE,1563923050,85,54.11,-9.15,64.99,5.99
Severo-Kurilsk,100,RU,1563923050,93,50.68,156.12,46.21,6.85
Zyryanka,100,RU,1563923050,45,65.73,150.89,57.55,11.18
Naze,89,NG,1563923051,96,5.43,7.07,73.21,3.11
Iqaluit,20,CA,1563923051,81,63.75,-68.52,42.8,8.05
Los Llanos de Aridane,0,ES,1563923051,73,28.66,-17.92,71.6,16.11
College,1,US,1563923052,37,64.86,-147.8,84.0,4.7
Belmonte,33,PT,1563923052,82,40.36,-7.35,64.99,0.85
Vestmanna,100,FO,1563923052,100,62.16,-7.17,55.4,13.87
La Ronge,75,CA,1563923052,35,55.1,-105.3,86.0,9.17
Nuuk,75,GL,1563923053,93,64.17,-51.74,42.8,19.46
Mar del Plata,16,AR,1563923053,68,-46.43,-67.52,39.37,5.77
Nikolskoye,0,RU,1563923053,67,59.7,30.79,62.6,5.19
Thinadhoo,100,MV,1563923054,69,0.53,72.93,83.65,8.1
Caconda,0,AO,1563923054,42,-13.73,15.06,52.87,1.74
Polyarnyy,0,RU,1563923054,71,69.2,33.45,57.2,1.68
Formosa,28,BR,1563923054,57,-15.55,-47.33,64.21,6.73
Bergen,40,NO,1563923054,93,60.39,5.33,63.0,14.99
Katsuura,75,JP,1563923055,94,33.93,134.5,81.0,4.7
Lata,36,IN,1563923055,87,30.78,78.62,41.35,1.16
Dhidhdhoo,95,MV,1563923055,78,6.88,73.1,82.39,11.74
Vanavara,0,RU,1563923056,52,60.35,102.28,68.17,2.26
Dicabisagan,100,PH,1563923056,92,17.08,122.42,77.71,3.36
Torbay,90,CA,1563923056,93,47.66,-52.73,57.2,16.11
Warmbad,0,DE,1563923056,77,50.67,13.08,66.99,2.24
Aykhal,97,RU,1563923057,45,65.95,111.51,68.0,2.24
Burnie,38,AU,1563923057,95,-41.05,145.91,41.0,1.99
Tuktoyaktuk,90,CA,1563923057,76,69.44,-133.03,53.6,14.99
Markova,90,RU,1563923057,100,52.21,104.21,64.4,2.24
Bulgan,100,MN,1563923058,98,48.81,103.53,52.87,4.5
Soure,20,PT,1563922912,93,40.06,-8.63,64.0,6.93
Saint-Philippe,40,CA,1563923058,57,45.36,-73.48,78.8,7.99
San Policarpo,51,PH,1563923058,78,12.18,125.51,82.03,4.61
Maniitsoq,26,GL,1563923058,94,65.42,-52.9,42.25,11.23
Rehoboth,0,NA,1563923059,26,-23.31,17.08,40.63,6.44
Vidim,0,CZ,1563923059,64,50.47,14.53,70.0,1.12
San Patricio,98,PY,1563923059,96,-26.98,-56.83,58.09,6.26
Srivardhan,100,IN,1563923059,87,18.03,73.02,79.51,10.6
Banda Aceh,84,ID,1563923060,78,5.56,95.32,83.11,11.59
Taonan,10,CN,1563923060,58,45.34,122.78,73.99,4.21
Kuvandyk,0,RU,1563923034,92,51.48,57.35,55.21,3.31
Bonoua,20,CI,1563923060,100,5.27,-3.6,75.2,4.7
Mahebourg,40,MU,1563923061,88,-20.41,57.7,69.8,14.99
Abu Zabad,57,SD,1563923061,70,12.35,29.25,77.35,15.97
Chokurdakh,89,RU,1563923061,65,70.62,147.9,47.29,22.59
Voyvozh,97,RU,1563923061,89,62.89,54.96,54.13,1.54
Fortuna,90,US,1563923062,82,40.6,-124.16,62.6,9.17
Aljezur,0,PT,1563923062,64,37.31,-8.8,73.99,12.35
Gucheng,97,CN,1563923062,87,32.27,111.65,77.71,4.25
Nova Odesa,33,UA,1563923062,75,47.3,31.79,62.23,8.05
Nioro,61,GM,1563923062,61,13.79,-15.05,81.13,8.66
Chagoda,38,RU,1563923063,88,59.16,35.33,50.71,4.21
Banes,75,CU,1563922938,88,20.96,-75.72,77.0,6.93
Minab,10,IR,1563923063,70,27.15,57.07,89.6,2.24
Moron,31,HT,1563923063,71,18.56,-74.26,82.03,3.31
Pacific Grove,1,US,1563922841,39,36.62,-121.92,93.99,19.46
Boa Vista,67,BR,1563922775,68,2.82,-60.67,80.77,7.18
Centralia,90,US,1563922795,60,46.72,-122.96,72.0,5.82
Mount Gambier,75,AU,1563923064,93,-37.83,140.78,42.8,9.17
Cidreira,100,BR,1563923064,98,-30.17,-50.22,64.93,5.48
Saint-Leu,0,RE,1563923064,82,-21.15,55.28,69.8,14.99
Isangel,75,VU,1563923065,69,-19.55,169.27,73.4,9.17
Xiaoweizhai,9,CN,1563923065,93,26.23,107.51,70.33,2.93
Kamloops,75,CA,1563922904,35,50.68,-120.34,86.0,21.92
Pochutla,75,MX,1563923066,74,15.74,-96.47,86.0,17.22
Shelburne,1,CA,1563923066,27,44.08,-80.2,77.0,12.75
Sembakung,57,ID,1563923066,92,3.82,117.25,76.63,0.89
Souillac,0,FR,1563923066,65,45.6,-0.6,80.6,13.87
Quelimane,0,MZ,1563923067,87,-17.88,36.89,55.39,3.13
Otane,100,NZ,1563923067,94,-39.89,176.62,51.01,5.14
Ambon,96,FR,1563923067,94,47.55,-2.56,72.0,19.8
Kyzyl-Suu,2,KG,1563923067,68,42.34,78.0,69.43,3.24
Puerto Cabello,100,VE,1563923067,93,10.47,-68.01,74.29,1.39
Ixtapa,90,MX,1563923068,62,20.71,-105.21,86.0,11.41
Denpasar,83,ID,1563923068,79,-8.65,115.22,72.67,4.59
Pyinmana,100,MM,1563923068,98,19.74,96.21,72.67,5.5
Lethem,38,GY,1563923068,70,3.38,-59.8,80.23,5.3
Mahibadhoo,62,MV,1563923069,72,3.78,72.97,82.57,6.64
Ambanja,3,MG,1563923069,59,-13.68,48.45,74.29,10.11
George,1,MW,1563923069,64,-15.35,34.83,53.95,3.98
Fomboni,0,KM,1563923069,70,-12.28,43.74,75.37,14.16
Cururupu,12,BR,1563923070,98,-1.82,-44.87,72.13,3.04
Lebu,71,ET,1563923070,91,8.96,38.73,53.95,2.95
Safford,20,US,1563923070,25,32.83,-109.71,96.8,13.09
Grimshaw,75,CA,1563923070,65,56.19,-117.61,77.0,5.82
Jizan,73,SA,1563923071,49,16.89,42.56,93.2,5.82
Bathsheba,75,BB,1563922858,83,13.22,-59.52,82.4,13.87
Lyantonde,14,UG,1563923071,50,-0.41,31.15,67.45,2.24
Ust-Omchug,0,RU,1563923071,39,61.13,149.63,52.33,2.8
Port-Gentil,40,GA,1563923071,88,-0.72,8.78,75.2,10.29
Riohacha,98,CO,1563923072,46,11.54,-72.91,93.2,13.87
Soeng Sang,100,TH,1563923072,60,14.43,102.46,87.01,3.44
Turukhansk,52,RU,1563923072,61,65.8,87.96,66.55,4.54
Novo Aripuana,88,BR,1563923072,59,-5.12,-60.38,81.85,2.48
Mount Pleasant,1,US,1563922983,40,33.16,-94.97,88.0,9.17
Tecoanapa,90,MX,1563923073,70,16.99,-99.26,84.2,6.93
Kyabe,96,TD,1563923073,95,9.45,18.94,71.95,3.53
Yekepa,78,LR,1563923073,98,7.58,-8.54,68.89,2.86
Zaysan,100,KZ,1563923073,45,47.47,84.87,67.99,4.81
Piacabucu,17,BR,1563923074,87,-10.41,-36.43,73.39,9.6
Estelle,0,FR,1563923074,83,43.97,3.47,75.2,3.36
Mazamari,94,PE,1563923074,95,-11.33,-74.53,41.89,4.21
Westport,75,US,1563923031,78,41.14,-73.36,72.0,5.82
Okato,98,NZ,1563923075,63,-39.19,173.88,59.0,1.01
Palana,17,RU,1563923075,81,59.08,159.95,47.47,7.31
Hede,0,SE,1563923075,100,60.45,15.49,59.0,2.24
Sur,0,OM,1563923075,79,22.57,59.53,78.61,12.3
Faanui,91,PF,1563923076,81,-16.48,-151.75,80.05,11.63
Ahipara,75,NZ,1563923076,100,-35.17,173.16,60.01,1.01
Qena,0,EG,1563923076,31,26.16,32.72,89.6,2.24
Leningradskiy,100,RU,1563923076,83,69.38,178.42,38.65,9.46
Esperance,0,AU,1563923077,100,-33.86,121.89,46.4,8.05
Tautira,20,PF,1563923077,70,-17.73,-149.15,84.2,16.11
Buin,0,CL,1563923077,46,-33.73,-70.74,50.0,2.1
Lerwick,2,GB,1563923078,93,60.15,-1.15,57.2,2.24
Christchurch,90,NZ,1563922779,100,-43.53,172.64,52.0,1.12
Carlsbad,0,CZ,1563922973,63,50.23,12.87,68.0,3.76
Groningen,0,NL,1563923078,88,53.22,6.57,72.0,6.93
Jingdezhen,12,CN,1563923078,77,29.29,117.2,82.39,4.92
Antofagasta,75,CL,1563923079,62,-23.65,-70.4,57.2,17.22
Novyy Urengoy,9,RU,1563923079,65,66.08,76.63,51.07,16.98
Ponta do Sol,17,BR,1563923079,67,-20.63,-46.0,60.79,5.21
Yuanping,22,CN,1563923079,50,38.72,112.71,73.93,7.05
San Andres,67,PH,1563923080,82,13.32,122.68,81.85,3.13
Port Hardy,40,CA,1563923080,63,50.7,-127.42,64.4,13.87
Francisco Sa,0,BR,1563923080,56,-16.48,-43.49,73.4,6.93
Airai,14,TL,1563923080,42,-8.93,125.41,75.91,0.22
Kutum,85,SD,1563923081,47,14.2,24.66,79.15,8.57
Bambanglipuro,96,ID,1563923081,84,-7.95,110.28,74.65,12.08
Tateyama,20,JP,1563923081,83,36.66,137.31,87.01,2.24
Tutoia,20,BR,1563923081,83,-2.76,-42.27,78.8,2.24
Kruisfontein,25,ZA,1563923082,73,-34.0,24.73,48.01,15.57
Date,75,JP,1563923082,94,42.53,140.93,75.99,10.29
Polson,1,US,1563922987,31,47.69,-114.16,91.4,6.93
Puerto Escondido,40,MX,1563923082,70,15.86,-97.07,86.0,5.82
Kharp,36,RU,1563923082,79,66.82,65.8,47.65,2.17
Emerald,0,AU,1563923083,71,-23.53,148.16,60.01,2.24
Nanakuli,20,US,1563923083,54,21.39,-158.15,89.01,18.34
Mount Isa,4,AU,1563923083,23,-20.73,139.49,64.4,11.41
Camacha,20,PT,1563923083,88,33.08,-16.33,71.6,10.29
Barra Patuca,48,HN,1563923083,78,15.8,-84.28,82.93,13.82
Kvarkeno,0,RU,1563923084,87,52.08,59.73,56.11,7.74
Luena,3,AO,1563923084,42,-11.78,19.91,49.27,2.71
Valleyview,66,CA,1563923084,88,55.07,-117.28,67.81,15.12
Cravo Norte,100,CO,1563923084,93,6.3,-70.2,76.27,4.7
Lamar,1,US,1563923085,27,38.09,-102.62,89.6,9.17
Codrington,0,AU,1563923085,87,-28.95,153.24,55.4,5.82
Ambilobe,18,MG,1563923085,67,-13.19,49.05,64.75,5.68
Chaozhou,20,CN,1563923085,100,23.66,116.62,77.0,1.01
The Valley,40,AI,1563922884,69,18.22,-63.06,86.0,14.99
Ferrandina,5,IT,1563923086,60,40.5,16.45,82.0,11.41
Ulaanbaatar,75,MN,1563923086,93,47.92,106.92,57.2,6.71
Tessalit,70,ML,1563923086,23,20.2,1.01,94.45,11.36
Kaniama,26,CD,1563922933,34,-7.57,24.18,61.69,4.29
Gebre Guracha,100,ET,1563923087,91,9.8,38.4,62.05,0.45
Shubarshi,80,KZ,1563923087,58,48.59,57.19,68.17,9.37
Pahrump,75,US,1563923087,21,36.21,-115.98,100.0,3.36
Buri,0,BR,1563923088,86,-23.8,-48.6,60.07,3.04
Salalah,90,OM,1563923088,94,17.01,54.1,78.8,3.36
Sharjah,0,AE,1563923088,50,25.36,55.39,96.8,11.41
Saint-Louis,0,SN,1563923088,83,16.03,-16.5,80.6,6.93
Mounana,96,GA,1563923089,76,-1.38,13.16,72.49,2.48
Chara,40,GR,1563923089,69,39.42,22.43,82.0,2.04
Blackwater,52,GB,1563923089,64,51.33,-0.78,77.0,9.17
Alyangula,100,AU,1563923089,68,-13.85,136.42,71.6,5.82
Niquero,31,CU,1563923090,72,20.04,-77.58,84.73,16.28
Vila do Maio,75,CV,1563923090,83,15.13,-23.22,77.0,18.34
Rabo de Peixe,75,PT,1563923090,94,37.8,-25.58,71.6,12.75
Malayal,75,PH,1563923090,100,7.21,121.94,75.2,3.36
Roebourne,82,AU,1563923091,19,-20.77,117.15,71.23,10.38
Upernavik,0,GL,1563923091,65,72.79,-56.15,48.73,6.2
Maragogi,7,BR,1563922961,94,-9.01,-35.22,69.79,4.21
Vikindu,1,TZ,1563923091,95,-6.98,39.3,64.93,6.8
Constitucion,75,MX,1563923091,38,23.99,-104.67,73.99,12.75
Chuy,100,UY,1563922847,90,-33.69,-53.46,53.41,11.54
Wamba,83,CD,1563923092,96,2.14,27.99,64.93,1.1
Grindavik,0,IS,1563923092,87,63.84,-22.43,59.0,5.82
Chinsali,0,ZM,1563923092,62,-10.55,32.07,48.91,4.65
Yacuiba,90,AR,1563923092,66,-22.01,-63.68,53.6,0.89
Hargeysa,82,SO,1563923093,56,9.56,44.06,69.79,27.54
Whitianga,68,NZ,1563923093,98,-36.83,175.7,54.0,3.18
Kamenka,30,MD,1563923093,91,48.03,28.7,55.0,4.34
Dragu,0,RO,1563923093,82,47.04,23.4,62.6,5.82
Ilulissat,75,GL,1563923094,58,69.22,-51.1,53.6,3.36
Birin,100,NP,1563923094,99,26.89,88.07,64.39,1.21
Norman Wells,20,CA,1563922898,44,65.28,-126.83,80.6,14.99
Marovoay,0,MG,1563923094,52,-16.11,46.64,68.0,9.17
Neyshabur,0,IR,1563923094,22,36.21,58.79,65.83,7.18
Vardo,40,US,1563923095,73,39.62,-77.74,75.99,3.36
Grand Gaube,40,MU,1563923095,88,-20.01,57.66,69.8,14.99
Havelock,40,US,1563923095,66,34.88,-76.9,86.0,24.16
Las Vegas,75,US,1563922946,17,36.17,-115.15,102.2,8.05
Faya,5,SA,1563923095,73,18.39,42.45,77.0,4.7
Solnechnyy,100,RU,1563923096,98,50.72,136.64,48.55,7.18
Nuevo Progreso,1,US,1563923096,55,26.05,-97.95,93.2,14.99
Puerto del Rosario,65,ES,1563923096,78,28.5,-13.86,71.6,19.46
Vallenar,0,CL,1563923096,93,-28.58,-70.76,39.91,2.17
Varhaug,20,NO,1563923097,93,58.61,5.65,60.8,3.91
Never,100,RU,1563923097,96,53.98,124.16,50.35,7.72
Kaeo,2,NZ,1563923097,72,-35.1,173.78,60.01,8.99
Clyde River,40,CA,1563922992,48,70.47,-68.59,66.2,9.17
Hirara,40,JP,1563923098,94,24.8,125.28,82.4,3.36
Westerland,0,NL,1563923098,83,52.89,4.93,73.99,12.75
Takapau,83,NZ,1563923098,94,-40.02,176.35,51.01,4.36
Altamira,67,BR,1563923098,72,-3.2,-52.21,75.91,1.95
At-Bashi,0,KG,1563923099,63,41.17,75.81,53.05,4.0
Macusani,100,PE,1563923099,96,-14.07,-70.43,30.55,7.67
Flin Flon,20,CA,1563922832,30,54.77,-101.88,86.0,10.29
Shenzhen,40,CN,1563923099,83,22.54,114.05,88.0,5.82
Jumla,92,NP,1563923100,96,29.28,82.18,56.11,2.01
Portland,20,US,1563923100,73,43.66,-70.25,70.0,5.82
Pisco,90,PE,1563923100,30,-13.71,-76.2,71.6,19.46
Kinkala,50,CG,1563923100,61,-4.35,14.75,72.31,7.45
Beian,75,NO,1563923101,93,63.66,9.57,64.0,3.36
Dobroye,40,RU,1563923101,100,52.86,39.81,60.8,2.24
Mahajanga,0,MG,1563923101,52,-15.72,46.32,68.0,9.17
Samoded,94,RU,1563923102,97,63.61,40.52,52.15,7.18
Lagunas,88,PE,1563923102,98,-5.23,-75.68,71.95,2.73
Sinnamary,62,GF,1563923102,80,5.38,-52.96,80.95,11.01
Labuhan,60,ID,1563923103,70,-2.54,115.51,74.11,0.47
Yar-Sale,4,RU,1563923103,70,66.83,70.83,46.75,13.76
Beaverlodge,75,CA,1563923103,64,55.21,-119.43,75.2,9.17
Klaksvik,100,FO,1563923103,100,62.23,-6.59,55.4,13.87
Macau,20,BR,1563923103,73,-5.11,-36.64,76.27,17.85
Inhambane,0,MZ,1563923104,76,-23.87,35.38,58.63,9.44
Cap Malheureux,40,MU,1563923104,88,-19.98,57.61,69.8,14.99
Maralal,70,KE,1563923104,87,1.1,36.7,60.25,1.25
Nemuro,13,JP,1563923104,86,43.32,145.57,61.51,16.04
Caohe,42,CN,1563923105,85,32.93,105.08,73.99,3.98
Kholodnyy,80,RU,1563923105,37,62.72,147.95,53.95,7.65
Tahe,100,CN,1563923105,98,52.34,124.71,49.45,3.8
